食品名(100gあたり),エネルギー(kcal),水分(g),たんぱく質(g),脂質(g),炭水化物(g),食塩相当量(g)
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　ゆで,298,54.9,20.8,23.8,0.1,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身つき　焼き,322,50.3,23,25.5,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　皮下脂肪なし　生,193,65.9,17.9,14.9,0.4,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　生,138,71.7,20.4,6.7,0.2,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　ゆで,174,63.2,27.9,7.1,1,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　赤肉　焼き,175,63.4,26.9,7.7,0.8,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　かた　脂身　生,650,21.9,4.5,73.3,0,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　脂身つき　生,295,56.4,16.2,26.4,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　皮下脂肪なし　生,285,57.3,16.5,25.2,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　かたロース　赤肉　生,196,65.9,19.1,13.9,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　生,380,47.9,14.1,37.1,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　ゆで,428,39.1,17.2,43,0.3,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身つき　焼き,457,33.4,20.4,45,0.3,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　皮下脂肪なし　生,351,50.7,15,33.4,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　赤肉　生,230,62.2,18.8,17.8,0.3,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　リブロース　脂身　生,703,15.6,3.7,80.5,0,0
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　脂身つき　生,313,54.4,16.5,27.9,0.4,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　皮下脂肪なし　生,253,60,18.4,20.2,0.5,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　サーロイン　赤肉　生,167,68.2,21.1,9.1,0.6,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　生,381,47.4,12.8,39.4,0.3,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　ばら　脂身つき　焼き,451,38.7,15.9,44.2,0.3,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身つき　生,196,65.8,19.5,13.3,0.4,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　生,169,68.2,20.5,9.9,0.4,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　ゆで,235,56.4,28.4,13.8,0.6,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　皮下脂肪なし　焼き,227,56.9,28,13.2,0.6,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　赤肉　生,130,71.7,21.9,4.9,0.4,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　もも　脂身　生,594,30.2,5.1,64.1,0.2,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　脂身つき　生,220,64,18.2,16.3,0.6,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　皮下脂肪なし　生,179,67.8,19.6,11.1,0.6,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　そともも　赤肉　生,131,72,21.3,5,0.7,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　脂身つき　生,234,62.1,18.6,17.8,0.6,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　皮下脂肪なし　生,203,64.9,19.7,13.9,0.6,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　ランプ　赤肉　生,142,70.2,22,6.1,0.7,0.2
＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　生,177,67.3,20.8,11.2,0.5,0.1
＜畜肉類＞　うし　［乳用肥育牛肉］　ヒレ　赤肉　焼き,238,56.3,27.2,15.2,0.4,0.2
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　生,489,36.2,12,51.8,0.3,0.1
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　ゆで,540,29.1,13.2,56.5,0.1,0
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身つき　焼き,575,26.4,14.5,60.1,0.2,0.1
＜畜肉類＞　うし　［交雑牛肉］　リブロース　皮下脂肪なし　生,438,41,13.6,45.2,0.3,0.1
＜畜肉類＞　うし　［交雑牛肉］　リブロース　赤肉　生,338,50.5,16.7,32.3,0.4,0.1
＜畜肉類＞　うし　［交雑牛肉］　リブロース　脂身　生,759,10.6,3.6,86.7,0,0
＜畜肉類＞　うし　［交雑牛肉］　ばら　脂身つき　生,445,41.4,12.2,44.4,0.3,0.2
＜畜肉類＞　うし　［交雑牛肉］　もも　脂身つき　生,312,53.9,16.4,28.9,0.4,0.2
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　生,250,59.5,18.3,21.6,0.4,0.2
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　ゆで,331,49.8,25.7,28.2,0.2,0.1
＜畜肉類＞　うし　［交雑牛肉］　もも　皮下脂肪なし　焼き,313,49.7,25,27.6,0.5,0.2
＜畜肉類＞　うし　［交雑牛肉］　もも　赤肉　生,222,62.7,19.3,17.5,0.5,0.2
＜畜肉類＞　うし　［交雑牛肉］　もも　脂身　生,682,17.6,4.8,75.8,0.1,0.1
＜畜肉類＞　うし　［交雑牛肉］　ヒレ　赤肉　生,229,62.3,19,18,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　かた　脂身つき　生,160,69.4,19,10.6,0.1,0.1
＜畜肉類＞　うし　［輸入牛肉］　かた　皮下脂肪なし　生,138,71.5,19.6,7.8,0.1,0.1
＜畜肉類＞　うし　［輸入牛肉］　かた　赤肉　生,114,73.9,20.4,4.6,0.1,0.1
＜畜肉類＞　うし　［輸入牛肉］　かた　脂身　生,537,32,7.1,60.5,0,0.1
＜畜肉類＞　うし　［輸入牛肉］　かたロース　脂身つき　生,221,63.8,17.9,17.4,0.1,0.1
＜畜肉類＞　うし　［輸入牛肉］　かたロース　皮下脂肪なし　生,219,64,18,17.1,0.1,0.1
＜畜肉類＞　うし　［輸入牛肉］　かたロース　赤肉　生,160,69.8,19.7,9.5,0.1,0.1
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　生,212,63.8,20.1,15.4,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　ゆで,307,50.2,25.8,23.9,0.1,0
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身つき　焼き,306,49.8,25,23.9,0.3,0.1
＜畜肉類＞　うし　［輸入牛肉］　リブロース　皮下脂肪なし　生,203,64.5,20.3,14.4,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　リブロース　赤肉　生,163,68.6,21.7,9.1,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　リブロース　脂身　生,653,19.9,5.7,73.1,0.1,0
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　脂身つき　生,273,57.7,17.4,23.7,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　皮下脂肪なし　生,218,63.1,19.1,16.5,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　サーロイン　赤肉　生,127,72.1,22,4.4,0.5,0.1
＜畜肉類＞　うし　［輸入牛肉］　ばら　脂身つき　生,338,51.8,14.4,32.9,0.2,0.1
＜畜肉類＞　うし　［輸入牛肉］　もも　脂身つき　生,148,71.4,19.6,8.6,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　生,133,73,20,6.7,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　ゆで,204,60,30,11,0.2,0
＜畜肉類＞　うし　［輸入牛肉］　もも　皮下脂肪なし　焼き,205,60.4,28,14.1,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　もも　赤肉　生,117,74.2,21.2,4.3,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　もも　脂身　生,580,28.1,6.3,64.4,0.2,0
＜畜肉類＞　うし　［輸入牛肉］　そともも　脂身つき　生,197,65.8,18.7,14.3,0.3,0.1
＜畜肉類＞　うし　［輸入牛肉］　そともも　皮下脂肪なし　生,178,67.6,19.3,11.9,0.3,0.1
＜畜肉類＞　うし　［輸入牛肉］　そともも　赤肉　生,117,73.6,21.2,3.9,0.3,0.1
＜畜肉類＞　うし　［輸入牛肉］　ランプ　脂身つき　生,214,63.8,18.4,16.4,0.4,0.1
＜畜肉類＞　うし　［輸入牛肉］　ランプ　皮下脂肪なし　生,174,67.7,19.7,11.1,0.5,0.1
＜畜肉類＞　うし　［輸入牛肉］　ランプ　赤肉　生,112,73.8,21.6,3,0.5,0.1
＜畜肉類＞　うし　［輸入牛肉］　ヒレ　赤肉　生,123,73.3,20.5,4.8,0.3,0.1
＜畜肉類＞　うし　［子牛肉］　リブロース　皮下脂肪なし　生,94,76,21.7,0.9,0.3,0.2
＜畜肉類＞　うし　［子牛肉］　ばら　皮下脂肪なし　生,113,74.5,20.9,3.6,0,0.3
＜畜肉類＞　うし　［子牛肉］　もも　皮下脂肪なし　生,107,74.8,21.2,2.7,0.2,0.1
＜畜肉類＞　うし　［ひき肉］　生,251,61.4,17.1,21.1,0.3,0.2
＜畜肉類＞　うし　［ひき肉］　焼き,280,52.2,25.9,21.3,0.4,0.2
＜畜肉類＞　うし　［副生物］　舌　生,318,54,13.3,31.8,0.2,0.2
＜畜肉類＞　うし　［副生物］　舌　焼き,401,41.4,20.2,37.1,0.2,0.2
＜畜肉類＞　うし　［副生物］　心臓　生,128,74.8,16.5,7.6,0.1,0.2
＜畜肉類＞　うし　［副生物］　肝臓　生,119,71.5,19.6,3.7,3.7,0.1
＜畜肉類＞　うし　［副生物］　じん臓　生,118,75.7,16.7,6.4,0.2,0.2
＜畜肉類＞　うし　［副生物］　第一胃　ゆで,166,66.6,24.5,8.4,0,0.1
＜畜肉類＞　うし　［副生物］　第二胃　ゆで,186,71.6,12.4,15.7,0,0.1
＜畜肉類＞　うし　［副生物］　第三胃　生,57,86.6,11.7,1.3,0,0.1
＜畜肉類＞　うし　［副生物］　第四胃　ゆで,308,58.5,11.1,30,0,0.1
＜畜肉類＞　うし　［副生物］　小腸　生,268,63.3,9.9,26.1,0,0.2
＜畜肉類＞　うし　［副生物］　大腸　生,150,77.2,9.3,13,0,0.2
＜畜肉類＞　うし　［副生物］　直腸　生,106,80.7,11.6,7,0,0.2
＜畜肉類＞　うし　［副生物］　腱　ゆで,157,65.4,31,5.1,Tr,0.2
＜畜肉類＞　うし　［副生物］　子宮　ゆで,95,78.2,18.4,3,0,0.2
＜畜肉類＞　うし　［副生物］　尾　生,440,40.7,11.6,47.1,Tr,0.1
＜畜肉類＞　うし　［副生物］　横隔膜　生,288,57,14.8,27.3,0.3,0.1
＜畜肉類＞　うし　［副生物］　横隔膜　ゆで,414,39.6,21.3,36.7,0.2,0.1
＜畜肉類＞　うし　［副生物］　横隔膜　焼き,401,39.4,21.1,37.2,0.3,0.1
＜畜肉類＞　うし　［加工品］　ローストビーフ,190,64,21.7,11.7,0.9,0.8
＜畜肉類＞　うし　［加工品］　コンビーフ缶詰,191,63.4,19.8,13,1.7,1.8
＜畜肉類＞　うし　［加工品］　味付け缶詰,156,64.3,19.2,4.4,9.9,1.8
＜畜肉類＞　うし　［加工品］　ビーフジャーキー,304,24.4,54.8,7.8,6.4,4.8
＜畜肉類＞　うし　［加工品］　スモークタン,273,55.9,18.1,23,0.9,1.6
＜畜肉類＞　うま　肉　赤肉　生,102,76.1,20.1,2.5,0.3,0.1
＜畜肉類＞　くじら　肉　赤肉　生,100,74.3,24.1,0.4,0.2,0.2
＜畜肉類＞　くじら　うねす　生,328,49,18.8,31.4,0.2,0.4
＜畜肉類＞　くじら　本皮　生,577,21,9.7,68.8,0.2,0.1
＜畜肉類＞　くじら　さらしくじら,28,93.7,5.3,0.9,0,0
＜畜肉類＞　しか　あかしか　赤肉　生,102,74.6,22.3,1.5,0.5,0.1
＜畜肉類＞　しか　にほんじか　赤肉　生,119,71.4,23.9,4,0.3,0.1
＜畜肉類＞　しか　にほんじか　えぞしか　赤肉　生,126,71.4,22.6,5.2,0.6,0.1
＜畜肉類＞　しか　にほんじか　きゅうしゅうじか　赤肉　生,107,74.4,22.6,2.5,0.1,0.1
＜畜肉類＞　しか　にほんじか　ほんしゅうじか　赤肉　生,90,77.1,21.4,1,0.1,0.2
＜畜肉類＞　ぶた　［大型種肉］　かた　脂身つき　生,201,65.7,18.5,14.6,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　かた　皮下脂肪なし　生,158,69.8,19.7,9.3,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　かた　赤肉　生,114,74,20.9,3.8,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　かた　脂身　生,663,22,5.3,72.4,0,0.1
＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身つき　生,237,62.6,17.1,19.2,0.1,0.1
＜畜肉類＞　ぶた　［大型種肉］　かたロース　皮下脂肪なし　生,212,65.1,17.8,16,0.1,0.1
＜畜肉類＞　ぶた　［大型種肉］　かたロース　赤肉　生,146,71.3,19.7,7.8,0.1,0.2
＜畜肉類＞　ぶた　［大型種肉］　かたロース　脂身　生,644,23.6,5.4,70.7,0,0.1
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　生,248,60.4,19.3,19.2,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　ゆで,299,51,23.9,24.1,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　焼き,310,49.1,26.7,22.7,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,429,31.2,22,35.9,9.8,0.3
＜畜肉類＞　ぶた　［大型種肉］　ロース　皮下脂肪なし　生,190,65.7,21.1,11.9,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　ロース　赤肉　生,140,70.3,22.7,5.6,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身　生,695,18.3,5.1,76.3,0,0
＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,366,49.4,14.4,35.4,0.1,0.1
＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　焼き,444,37.1,19.6,43.9,0.1,0.1
＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生,171,68.1,20.5,10.2,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　生,138,71.2,21.5,6,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　ゆで,185,61.8,28.9,8.1,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　焼き,186,60.4,30.2,7.6,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　もも　赤肉　生,119,73,22.1,3.6,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　もも　脂身　生,611,25.5,6.5,67.6,0,0.1
＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身つき　生,221,63.5,18.8,16.5,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　そともも　皮下脂肪なし　生,175,67.9,20.2,10.7,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　そともも　赤肉　生,133,71.8,21.4,5.5,0.2,0.1
＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身　生,631,24.9,6.6,68.1,0,0.1
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　生,118,73.4,22.2,3.7,0.3,0.1
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　焼き,202,53.8,39.3,5.9,0.4,0.2
＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,379,33.3,25.1,25.3,14.9,0.4
＜畜肉類＞　ぶた　［中型種肉］　かた　脂身つき　生,224,63.6,18.3,17.2,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　かた　皮下脂肪なし　生,172,68.5,19.7,10.8,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　かた　赤肉　生,113,74,21.4,3.5,0,0.2
＜畜肉類＞　ぶた　［中型種肉］　かた　脂身　生,698,19.1,4.9,75.7,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身つき　生,241,62,17.7,19.3,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　かたロース　皮下脂肪なし　生,212,64.8,18.5,15.7,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　かたロース　赤肉　生,140,71.5,20.6,6.8,0,0.2
＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身　生,663,22.3,5.4,71.9,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身つき　生,275,58,18.3,22.6,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　ロース　皮下脂肪なし　生,203,64.6,20.6,13.6,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　ロース　赤肉　生,131,71.2,22.9,4.6,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身　生,716,17.3,4.1,78.3,0,0
＜畜肉類＞　ぶた　［中型種肉］　ばら　脂身つき　生,398,45.8,13.4,40.1,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　もも　脂身つき　生,211,64.2,19.5,15.1,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　もも　皮下脂肪なし　生,153,69.6,21.3,7.8,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　もも　赤肉　生,133,71.5,21.9,5.3,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　もも　脂身　生,672,20.7,5.2,73.8,0,0
＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身つき　生,252,60.6,18,20.3,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　そともも　皮下脂肪なし　生,159,69.2,21,8.5,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　そともも　赤肉　生,129,72,21.9,4.8,0.2,0.1
＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身　生,660,22.2,4.9,72.5,0,0.1
＜畜肉類＞　ぶた　［中型種肉］　ヒレ　赤肉　生,105,74.2,22.7,1.7,0.1,0.1
＜畜肉類＞　ぶた　［ひき肉］　生,209,64.8,17.7,17.2,0.1,0.1
＜畜肉類＞　ぶた　［ひき肉］　焼き,289,51.5,25.7,21.5,0.1,0.2
＜畜肉類＞　ぶた　［副生物］　頭部　ジョウルミート　生,256,59.8,17.4,22.3,0.1,0.2
＜畜肉類＞　ぶた　［副生物］　頭部　ジョウルミート　焼き,351,45.1,25,28.6,0.1,0.2
＜畜肉類＞　ぶた　［副生物］　舌　生,205,66.7,15.9,16.3,0.1,0.2
＜畜肉類＞　ぶた　［副生物］　心臓　生,118,75.7,16.2,7,0.1,0.2
＜畜肉類＞　ぶた　［副生物］　肝臓　生,114,72,20.4,3.4,2.5,0.1
＜畜肉類＞　ぶた　［副生物］　じん臓　生,96,79,14.1,5.8,Tr,0.4
＜畜肉類＞　ぶた　［副生物］　胃　ゆで,111,76.8,17.4,5.1,0,0.3
＜畜肉類＞　ぶた　［副生物］　小腸　ゆで,159,73.7,14,11.9,0,0
＜畜肉類＞　ぶた　［副生物］　大腸　ゆで,166,74.1,11.7,13.8,0,0.1
＜畜肉類＞　ぶた　［副生物］　子宮　生,64,83.8,14.6,0.9,0,0.3
＜畜肉類＞　ぶた　［副生物］　豚足　ゆで,227,62.7,20.1,16.8,Tr,0.3
＜畜肉類＞　ぶた　［副生物］　軟骨　ゆで,229,63.5,17.8,17.9,0,0.3
＜畜肉類＞　ぶた　［ハム類］　骨付きハム,208,62.9,16.7,16.6,0.8,2.5
＜畜肉類＞　ぶた　［ハム類］　ボンレスハム,115,72,18.7,4,1.8,2.8
＜畜肉類＞　ぶた　［ハム類］　ロースハム　ロースハム,211,61.1,18.6,14.5,2,2.3
＜畜肉類＞　ぶた　［ハム類］　ロースハム　ゆで,233,58.9,19.7,16.6,1.6,1.9
＜畜肉類＞　ぶた　［ハム類］　ロースハム　焼き,240,54.6,23.6,15.1,2.4,2.8
＜畜肉類＞　ぶた　［ハム類］　ロースハム　フライ,432,27.8,17.3,32.3,20,2.1
＜畜肉類＞　ぶた　［ハム類］　ショルダーハム,221,62.7,16.1,18.2,0.6,1.6
＜畜肉類＞　ぶた　［ハム類］　生ハム　促成,243,55,24,16.6,0.5,5.8
＜畜肉類＞　ぶた　［ハム類］　生ハム　長期熟成,253,49.5,25.7,18.4,0,5.6
＜畜肉類＞　ぶた　［プレスハム類］　プレスハム,113,73.3,15.4,4.5,3.9,2.4
＜畜肉類＞　ぶた　［プレスハム類］　チョップドハム,132,68,11.7,4.2,12.7,2.5
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　ばらベーコン　,244,58.8,15.4,19.4,3.2,2.6
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　ゆで,232,57.9,21.6,15.7,1.3,0.7
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　焼き,288,45.9,24.3,24.9,4.4,3.7
＜畜肉類＞　ぶた　［ベーコン類］　ばらベーコン　油いため,271,52.3,21.6,18.9,3.7,3.3
＜畜肉類＞　ぶた　［ベーコン類］　ロースベーコン,202,62.5,16.8,14.6,3.2,2.2
